ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE,valid
"ALTDORFER, Albrecht",Rest on the Flight into Egypt,https://www.wga.hu/html/a/altdorfe/2/02egypt.html,https://www.wga.hu/art/a/altdorfe/2/02egypt.jpg,web_gallery_aaltdorfe202egypt.jpg,"The Virgin is shown resting in a throne-like chair by a richly ornate Renaissance fountain, while Joseph proffers a basket of cherries. Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water. The fountain-pillar is lavishly decorated with sculpture. The significance of the group of figures at the top - a bearded man with a boy shooting an arrow - is not clear, but appears to relate to ancient mythology. Beyond the fountain the wooded shores of a lake stretch far into the distance. The rocks are crowded with gateways, fortified roads and towers, houses with pointed gables, ruins and decaying roofs - all so intricately interwoven with trees and foliage that it is difficult to detect the relationship of any one building to the other.",1501-1550,Oil on panel,200.0
"ALTDORFER, Albrecht",Rest on the Flight into Egypt (detail),https://www.wga.hu/html/a/altdorfe/2/02egypt1.html,https://www.wga.hu/art/a/altdorfe/2/02egypt1.jpg,web_gallery_aaltdorfe202egypt1.jpg,"Several angels are playing in and around the basin of the fountain, and the child Jesus tries to reach into the water.",1501-1550,Oil on panel,200.0
"ALTDORFER, Albrecht",St Florian Taking Leave of the Monastery,https://www.wga.hu/html/a/altdorfe/3/4scenes1.html,https://www.wga.hu/art/a/altdorfe/3/4scenes1.jpg,web_gallery_aaltdorfe34scenes1.jpg,"The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) of seven representing the story of St Florian. The other panels are scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.",1501-1550,Oil on wood,200.0
"ALTDORFER, Albrecht",The Martyrdom of St Florian,https://www.wga.hu/html/a/altdorfe/3/4scenes2.html,https://www.wga.hu/art/a/altdorfe/3/4scenes2.jpg,web_gallery_aaltdorfe34scenes2.jpg,"The two panels in the Uffizi (The Departure of St Florian and The Martyrdom of St Florian) make up a series (incomplete) seven representing the story of St Florian. The other panels are   scattered in various museums: 3 in Nuremberg, 1 in Prague, and 1 in Bern. They are not belong to the St Florian Altarpiece executed by Altdorfer for the abbey church in Sankt Florian near Linz, Austria. It is not known whether this altarpiece was also painted for the same church.",1501-1550,Oil on wood,200.0
"ALTOMONTE, Martino",Rest on the Flight to Egypt,https://www.wga.hu/html/a/altomont/martino/restflig.html,https://www.wga.hu/art/a/altomont/martino/restflig.jpg,web_gallery_aaltomontmartinorestflig.jpg,The composition of this painting is close to that of a large altarpiece painted by Altomonte in 1723-24 for high altar of the church of the Carmelites (Karmeliterkirche) in Linz.,1651-1700,Oil on canvas,200.0
"AMIGONI, Jacopo",Joseph in the Pharaoh's Palace,https://www.wga.hu/html/a/amigoni/joseph.html,https://www.wga.hu/art/a/amigoni/joseph.jpg,web_gallery_aamigonijoseph.jpg,"Jacopo Amigoni traveled through Europe and finally settled in Spain, where he died after painting portraits, and biblical works, such as Joseph in the Pharaoh's Palace.",1701-1750,Oil on canvas,200.0
"AMIGONI, Jacopo",Virgin and Child,https://www.wga.hu/html/a/amigoni/virgin_c.html,https://www.wga.hu/art/a/amigoni/virgin_c.jpg,web_gallery_aamigonivirgin_c.jpg,Amigoni treated this subject about fifteen times during his career. It is difficult to reconstruct a chronological classification of these pieces.,1701-1750,Oil on canvas,200.0
ANDREA DEL SARTO,"Madonna and Child with St Elisabeth, the Infant St John, and Two Angels",https://www.wga.hu/html/a/andrea/sarto/1/mad_chil.html,https://www.wga.hu/art/a/andrea/sarto/1/mad_chil.jpg,web_gallery_aandreasarto1mad_chil.jpg,"According to Vasari, this painting is one of the two Madonnas painted by Andrea del Sarto for François I around 1516. The subject is the visit of St Elisabeth and the Infant St John at the Virgin and her Child.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Madonna and Child with the Young St John,https://www.wga.hu/html/a/andrea/sarto/1/madchild.html,https://www.wga.hu/art/a/andrea/sarto/1/madchild.jpg,web_gallery_aandreasarto1madchild.jpg,"One is struck by the extraordinary originality of this composition, constructed on an X-shaped scheme which may be discerned beneath the violent emotional expressiveness of the three protagonists. The Madonna's sweet face is shadowed by the soft chiaroscuro that also gives depth and body to the colours. She is seated on the ground, like the traditional madonna of Humility, filling the space diagonally. In a dramatically unstable pose between her knees, a Child Jesus with an elongated body transforms the jocular movements of a putto into a tragic contortion of the limbs and of the smile, in the awareness of his destiny which is matched by a range of colours unusually cold for Andrea, based on subtle relations between grey and violet.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,"Madonna and Child with Sts Catherine, Elizabeth and John the Baptist",https://www.wga.hu/html/a/andrea/sarto/1/madonna.html,https://www.wga.hu/art/a/andrea/sarto/1/madonna.jpg,web_gallery_aandreasarto1madonna.jpg,"One of the typical works of the artist's mature period, it was painted as an altarpiece. Saint Catherine is the portrait of Lucrezia, the wife of the artist.",1501-1550,Oil on canvas transferred from wood,200.0
ANDREA DEL SARTO,Holy Family,https://www.wga.hu/html/a/andrea/sarto/2/holy_fam.html,https://www.wga.hu/art/a/andrea/sarto/2/holy_fam.jpg,web_gallery_aandreasarto2holy_fam.jpg,,1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Stories of Joseph,https://www.wga.hu/html/a/andrea/sarto/2/joseph_1.html,https://www.wga.hu/art/a/andrea/sarto/2/joseph_1.jpg,web_gallery_aandreasarto2joseph_1.jpg,This is one of the two paintings commissioned by Pier Francesco Borgherini.,1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Stories of Joseph,https://www.wga.hu/html/a/andrea/sarto/2/joseph_2.html,https://www.wga.hu/art/a/andrea/sarto/2/joseph_2.jpg,web_gallery_aandreasarto2joseph_2.jpg,This is one of the two paintings commissioned by Pier Francesco Borgherini.,1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Assumption of the Virgin,https://www.wga.hu/html/a/andrea/sarto/3/assumpt.html,https://www.wga.hu/art/a/andrea/sarto/3/assumpt.jpg,web_gallery_aandreasarto3assumpt.jpg,"This large altarpiece, called  Assunta Passerini, represents the miracle of the Assumption of the Virgin. The subject illustrates an ancient tradition, according to which Mary, being deprived of original sin, is the only one to be welcomed in heaven with the body and with the soul. ",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Assumption of the Virgin (detail),https://www.wga.hu/html/a/andrea/sarto/3/assumpt1.html,https://www.wga.hu/art/a/andrea/sarto/3/assumpt1.jpg,web_gallery_aandreasarto3assumpt1.jpg,"The face of Mary in Andrea's huge Assumption bears the features of his wife. Seated on clouds, her hands folded in prayer, she is surrounded by sturdy putti.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Assumption of the Virgin,https://www.wga.hu/html/a/andrea/sarto/3/assumpti.html,https://www.wga.hu/art/a/andrea/sarto/3/assumpti.jpg,web_gallery_aandreasarto3assumpti.jpg,"Vasari records this as being executed around 1529 for Bartolommeo Panciatichi the Elder. Andrea began it and carried it out almost to the end, but because the panel split several times as the work was begun and then suspended, the picture remained not entirely finished at his death.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,St John the Baptist,https://www.wga.hu/html/a/andrea/sarto/3/baptist.html,https://www.wga.hu/art/a/andrea/sarto/3/baptist.jpg,web_gallery_aandreasarto3baptist.jpg,"This is a celebrated picture. Although actually disfigured by bad restorations in old times which have changed the background and diminished the splendor and especially the interrelation of colors, there still remains the frank, original and lively conception of this youthful figure.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,St John the Baptist,https://www.wga.hu/html/a/andrea/sarto/3/baptist1.html,https://www.wga.hu/art/a/andrea/sarto/3/baptist1.jpg,web_gallery_aandreasarto3baptist1.jpg,"This is a celebrated picture. Although actually disfigured by bad restorations in old times which have changed the background and diminished the splendor and especially the interrelation of colors, there still remains the frank, original and lively conception of this youthful figure.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Holy Family (Borgherini),https://www.wga.hu/html/a/andrea/sarto/3/holyfami.html,https://www.wga.hu/art/a/andrea/sarto/3/holyfami.jpg,web_gallery_aandreasarto3holyfami.jpg,,1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,"Virgin and Child, St Elizabeth and the Infant St John the Baptist",https://www.wga.hu/html/a/andrea/sarto/3/holyfamj.html,https://www.wga.hu/art/a/andrea/sarto/3/holyfamj.jpg,web_gallery_aandreasarto3holyfamj.jpg,"This painting, called the Medici Holy Family, was originally for Ottaviano de' Medici, a central figure in political and cultural life in Florence, both during the Republic and in the period of Cosimo I's duchy.",1501-1550,Oil on panel,200.0
ANDREA DEL SARTO,Holy Family (Barberini),https://www.wga.hu/html/a/andrea/sarto/3/holyfamy.html,https://www.wga.hu/art/a/andrea/sarto/3/holyfamy.jpg,web_gallery_aandreasarto3holyfamy.jpg,"In his biography of Andrea del Sarto, Vasari mentions this painting right after a panel of the same subject painted for Zanobi Bracci. The latter picture survives: given to Cardinal Ferdinando de Medici it is now in the Galleria Palatina at the Palazzo Pitti in Florence. The picture now in Rome, painted for the same Zanobi, was originally installed in the chapel of the Villa di Rovezzano.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Virgin and Child in Glory with Six Saints,https://www.wga.hu/html/a/andrea/sarto/3/madglory.html,https://www.wga.hu/art/a/andrea/sarto/3/madglory.jpg,web_gallery_aandreasarto3madglory.jpg,"Vasari mentions this panel as having been painted for Becuccio, a glassmaker, from Gambassi, and adds that it had a predella with the lively portraits of Becuccio and his wife. (The two little tondi with the portraits are now in Chicago.) The represented saints are Lawrence, Onophrius, John the Baptist, Mary Magdalen, Sebastian and Roch. he panel was placed to an altar dedicated to the hermit saints Lawrence and Onophrius in the female monastery of the Eremite Benedictines, the Pieve di Sta Maria a Chianni a Gambassi.",1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Virgin and Child in Glory with Six Saints (detail),https://www.wga.hu/html/a/andrea/sarto/3/madglorz.html,https://www.wga.hu/art/a/andrea/sarto/3/madglorz.jpg,web_gallery_aandreasarto3madglorz.jpg,The detail represents the figure of St Roch.,1501-1550,Oil on wood,200.0
ANDREA DEL SARTO,Standard of St James,https://www.wga.hu/html/a/andrea/sarto/3/s_james.html,https://www.wga.hu/art/a/andrea/sarto/3/s_james.jpg,web_gallery_aandreasarto3s_james.jpg,"In this painting Andrea del Sarto appears to reflect on an archaising iconography in the style of Fra Bartolomeo. The figure is large and dominant, yet the proportions between the masses and the space are accurate. Even the extended spreading of the colours seems intended to lighten the weight of the figure, which due to the faint and uncertain light stands alone and isolated against the background surroundings.",1501-1550,Oil on canvas,200.0
ANDREA DEL SARTO,Assumption of the Virgin (Poppi Altarpiece),https://www.wga.hu/html/a/andrea/sarto/3/virgin.html,https://www.wga.hu/art/a/andrea/sarto/3/virgin.jpg,web_gallery_aandreasarto3virgin.jpg,"Mary's seated position emphasizes her passivity - Christ ascended, but she is carried up. The represented saints are: Fedele (with the sword), Catherine of Alexandria, Giovanni Gualberto and Bernardo degli Uberti.",1501-1550,Oil on wood,200.0
ANDREA DI BARTOLO,Coronation of the Virgin,https://www.wga.hu/html/a/andrea/bartolo/coronatj.html,https://www.wga.hu/art/a/andrea/bartolo/coronatj.jpg,web_gallery_aandreabartolocoronatj.jpg,"This polyptych, originating from the convent of Santa Caterina d'Alessandria in Saant'Angelo in Vado (near Urbino), was executed with the collaboration of the painter's son, Giorgio di Andrea (active 1410-1428). The four saints on the side panels are Catherine of Alexandria, Augustine, Peter, and Paul. Originally the polyptych had five side panels, the missing two, representing Sts Michael and John the Baptist, are in the Galleria Nazionale delle Marche in Urbino.",1401-1450,Oil on panel,200.0
ANDREA DI BARTOLO,St Paul,https://www.wga.hu/html/a/andrea/bartolo/st_paul.html,https://www.wga.hu/art/a/andrea/bartolo/st_paul.jpg,web_gallery_aandreabartolost_paul.jpg,"This painting probably once formed part of the upper register of a larger polyptych, from which a companion panel representing St Ambrose Sansedoni also survives (Staatsgalerie, Stuttgart).",1401-1450,Oil on panel,200.0
ANDREA DI BARTOLO,Apostle Paul,https://www.wga.hu/html/a/andrea/bartolo/st_paul1.html,https://www.wga.hu/art/a/andrea/bartolo/st_paul1.jpg,web_gallery_aandreabartolost_paul1.jpg,,1401-1450,Oil on panel,200.0
"ANGELI, Giuseppe",St Roch in Glory,https://www.wga.hu/html/a/angeli/rocco1.html,https://www.wga.hu/art/a/angeli/rocco1.jpg,web_gallery_aangelirocco1.jpg,"In 1754, three canvases (St Roch in Glory, Faith, Charity) were commissioned from Giuseppe Angeli by Antonio Bianchi, the Guardian Grande of the Scuola di San Rocco. They decorate the ceiling of the Chancery.",1701-1750,Oil on canvas,200.0
"ANGELI, Giuseppe",Faith,https://www.wga.hu/html/a/angeli/rocco2.html,https://www.wga.hu/art/a/angeli/rocco2.jpg,web_gallery_aangelirocco2.jpg,"In 1754, three canvases (St Roch in Glory, Faith, Charity) were commissioned from Giuseppe Angeli by Antonio Bianchi, the Guardian Grande of the Scuola di San Rocco. They decorate the ceiling of the Chancery.",1701-1750,Oil on canvas,200.0
"ANSALDO, Giovanni Andrea",The Flight into Egypt,https://www.wga.hu/html/a/ansaldo/egypt.html,https://www.wga.hu/art/a/ansaldo/egypt.jpg,web_gallery_aansaldoegypt.jpg,"The unusual iconography, with the Madonna dressed in the habit of a gypsy, makes it interesting to trace the different interpretations of the painting. The concept of Ansaldo's work may derive directly from a work by Luca Cambiaso that Ratti saw during the eighteenth century at the Palazzo Barberini. In his notes on Soprani's biographies of the Genovese Painters, Ratti described how ""in Rome at the Palazzo Barberini, there is a painting of the Virgin dressed in the manner of the gypsies, who flees to Egypt with the infant Christ in her arms"".",1601-1650,Oil on canvas 170 x 127 cm,200.0
"ANSELMI, Michelangelo",Virgin in Glory Flanked by Sts John the Baptist and Stephen,https://www.wga.hu/html/a/anselmi/virgin_g.html,https://www.wga.hu/art/a/anselmi/virgin_g.jpg,web_gallery_aanselmivirgin_g.jpg,,1501-1550,Oil on wood,200.0
"ANTOLINEZ, Francisco",Flight into Egypt,https://www.wga.hu/html/a/antoline/francisc/virgin1.html,https://www.wga.hu/art/a/antoline/francisc/virgin1.jpg,web_gallery_aantolinefranciscvirgin1.jpg,,1651-1700,Oil on canvas,200.0
"ANTOLINEZ, Francisco",Presentation of the Virgin,https://www.wga.hu/html/a/antoline/francisc/virgin2.html,https://www.wga.hu/art/a/antoline/francisc/virgin2.jpg,web_gallery_aantolinefranciscvirgin2.jpg,,1651-1700,Oil on canvas,200.0
"ANTOLINEZ, José",Assumption of Mary Magdalene,https://www.wga.hu/html/a/antoline/jose/assumpti.html,https://www.wga.hu/art/a/antoline/jose/assumpti.jpg,web_gallery_aantolinejoseassumpti.jpg,"During the seventeenth century the school of Madrid, lead by the inspired Velázquez and Cano, developed a number of other lesser, but still interesting painters. One of them is José Antolinez, a pupil of Francesco Ricci, son of an Italian painter who arrived in Spain to work on the decoration of the Escorial.",1651-1700,Oil on canvas,200.0
"ANTOLINEZ, José",The Death of the Magdalene,https://www.wga.hu/html/a/antoline/jose/deathmag.html,https://www.wga.hu/art/a/antoline/jose/deathmag.jpg,web_gallery_aantolinejosedeathmag.jpg,This painting is a preparatory study for an untraced final work.,1651-1700,Oil on canvas,200.0
"ANTOLINEZ, José",Holy Family,https://www.wga.hu/html/a/antoline/jose/holy_fam.html,https://www.wga.hu/art/a/antoline/jose/holy_fam.jpg,web_gallery_aantolinejoseholy_fam.jpg,The attribution to Antolinez is based on the similarity in composition and quality to a painting of the same subject in a private collection in New York.,1651-1700,Oil on canvas,200.0
"ANTOLINEZ, José",The Infant St John the Baptist and the Christ Child,https://www.wga.hu/html/a/antoline/jose/infants.html,https://www.wga.hu/art/a/antoline/jose/infants.jpg,web_gallery_aantolinejoseinfants.jpg,"The painting depicts the Infant St John the Baptist kissing the feet of the Christ Child, three angels carrying a cross above.",1651-1700,Oil on canvas,200.0
"ANTOLINEZ, José",Martyrdom of St. Sebastian,https://www.wga.hu/html/a/antoline/jose/martyrdo.html,https://www.wga.hu/art/a/antoline/jose/martyrdo.jpg,web_gallery_aantolinejosemartyrdo.jpg,,1651-1700,Oil on canvas,200.0
ANTONELLO da Messina,St Sebastian,https://www.wga.hu/html/a/antonell/sebastia.html,https://www.wga.hu/art/a/antonell/sebastia.jpg,web_gallery_aantonellsebastia.jpg,This is a late work of Antonello showing Venetian influences. In the background typical Venetian buildings are depicted.,1451-1500,Oil on canvas transferred from panel,200.0
ANTONELLO da Messina,St Jerome in his Study,https://www.wga.hu/html/a/antonell/stjerome.html,https://www.wga.hu/art/a/antonell/stjerome.jpg,web_gallery_aantonellstjerome.jpg,The complicated problems of perspective of the architectural setting are solved excellently by the painter. The scene was also depicted in an engraving of Dürer.,1451-1500,Oil on wood,200.0
ANTONELLO da Messina,Virgin of the Annunciation,https://www.wga.hu/html/a/antonell/virgin.html,https://www.wga.hu/art/a/antonell/virgin.jpg,web_gallery_aantonellvirgin.jpg,,1451-1500,Oil on panel,200.0
ANTONELLO da Messina,Virgin Annunciate,https://www.wga.hu/html/a/antonell/virgin_a.html,https://www.wga.hu/art/a/antonell/virgin_a.jpg,web_gallery_aantonellvirgin_a.jpg,,1451-1500,Oil on wood,200.0
ARCANGELO DI JACOPO DEL SELLAIO,Penitent St Jerome in the Wilderness,https://www.wga.hu/html/a/arcangel/stjerome.html,https://www.wga.hu/art/a/arcangel/stjerome.jpg,web_gallery_aarcangelstjerome.jpg,,1501-1550,Oil on poplar panel,200.0
"AYALA, Josefa de","Holy Family with the Infant St John the Baptist, St Elizabeth and Angels",https://www.wga.hu/html/a/ayala/holyfami.html,https://www.wga.hu/art/a/ayala/holyfami.jpg,web_gallery_aayalaholyfami.jpg,This painting demonstrates the painter's mature technique with a miniaturist sense of detail.,1651-1700,Oil on copper,200.0
"AYALA, Josefa de",The Penitent Magdalene Comforted by Angels,https://www.wga.hu/html/a/ayala/magdalen.html,https://www.wga.hu/art/a/ayala/magdalen.jpg,web_gallery_aayalamagdalen.jpg,"In this painting the artist beautifully expresses her piety and the deep sense of mysticism that pervades much of her oeuvre. The influence of Francisco de Zurbarán can be seen in the painting, which is signed and dated lower left.",1651-1700,Oil on copper,200.0
"BABUREN, Dirck van",St Sebastian Attended by St Irene and Her Maid,https://www.wga.hu/html/b/baburen/sebastia.html,https://www.wga.hu/art/b/baburen/sebastia.jpg,web_gallery_bbaburensebastia.jpg,"This painting exhibits Caravaggesque tendencies: the artist creates the scene with a strong and artificial chiaroscuro which lights up the body of St Sebastian and the upper bodies of St Irene and her maid, leaving the rest of the pictorial plane in shadow. Only in the foreground can we make out the slain saint's armour.",1601-1650,Oil on canvas,200.0
BACCHIACCA,Scenes from the Story of Joseph: Joseph Sold by His Brethren,https://www.wga.hu/html/b/bacchiac/joseph1.html,https://www.wga.hu/art/b/bacchiac/joseph1.jpg,web_gallery_bbacchiacjoseph1.jpg,"This painting belongs to a series of six Scenes from the Story of Joseph painted by Bachiacca for the wedding chamber of the Florentine Pier Francesco Borgherini, who married Maddalena Acciaiuoli in 1515. Four of the six panels are in the Galleria Borghese, while the other two (Joseph Makes Himself Known to His Brethren and The Second Visit of His Brethren to Egypt) are in the National Gallery in London. Other painters (Andrea del Sarto, Francesco Granacci and Pontormo) also contributed to this commission with works devoted to the same figure from the Old Testament. The pictures were used to decorate the furniture of the chamber.",1501-1550,Oil on wood transferred to canvas,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Arrest of His Brethren,https://www.wga.hu/html/b/bacchiac/joseph2.html,https://www.wga.hu/art/b/bacchiac/joseph2.jpg,web_gallery_bbacchiacjoseph2.jpg,"This painting belongs to a series of six Scenes from the Story of Joseph painted by Bachiacca for the wedding chamber of the Florentine Pier Francesco Borgherini, who married Maddalena Acciaiuoli in 1515. Four of the six panels are in the Galleria Borghese, while the other two (Joseph Makes Himself Known to His Brethren and The Second Visit of His Brethren to Egypt) are in the National Gallery in London.",1501-1550,Oil on wood transferred to canvas,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Arrest of His Brethren (detail),https://www.wga.hu/html/b/bacchiac/joseph2d.html,https://www.wga.hu/art/b/bacchiac/joseph2d.jpg,web_gallery_bbacchiacjoseph2d.jpg,,1501-1550,Oil on wood,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Search for the Cup,https://www.wga.hu/html/b/bacchiac/joseph3.html,https://www.wga.hu/art/b/bacchiac/joseph3.jpg,web_gallery_bbacchiacjoseph3.jpg,"This painting belongs to a series of six Scenes from the Story of Joseph painted by Bachiacca for the wedding chamber of the Florentine Pier Francesco Borgherini, who married Maddalena Acciaiuoli in 1515. Four of the six panels are in the Galleria Borghese, while the other two (Joseph Makes Himself Known to His Brethren and The Second Visit of His Brethren to Egypt) are in the National Gallery in London.",1501-1550,Oil on wood,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Search for the Cup (detail),https://www.wga.hu/html/b/bacchiac/joseph3d.html,https://www.wga.hu/art/b/bacchiac/joseph3d.jpg,web_gallery_bbacchiacjoseph3d.jpg,,1501-1550,Oil on wood,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Discovery of the Stolen Cup,https://www.wga.hu/html/b/bacchiac/joseph4.html,https://www.wga.hu/art/b/bacchiac/joseph4.jpg,web_gallery_bbacchiacjoseph4.jpg,"This painting belongs to a series of six Scenes from the Story of Joseph painted by Bachiacca for the wedding chamber of the Florentine Pier Francesco Borgherini, who married Maddalena Acciaiuoli in 1515. Four of the six panels are in the Galleria Borghese, while the other two (Joseph Makes Himself Known to His Brethren and The Second Visit of His Brethren to Egypt) are in the National Gallery in London.",1501-1550,Oil on wood,200.0
BACCHIACCA,Scenes from the Story of Joseph: The Discovery of the Stolen Cup (detail),https://www.wga.hu/html/b/bacchiac/joseph4d.html,https://www.wga.hu/art/b/bacchiac/joseph4d.jpg,web_gallery_bbacchiacjoseph4d.jpg,,1501-1550,Oil on wood,200.0
BACCHIACCA,"Madonna with Child, St Elisabeth and the Infant St John the Baptist",https://www.wga.hu/html/b/bacchiac/madonna.html,https://www.wga.hu/art/b/bacchiac/madonna.jpg,web_gallery_bbacchiacmadonna.jpg,"The painting is based on an engraving by the Bolognese Marcantonio Raimondi. The engraving itself is a copy of the Madonna del divino amore (Museo del Capodimonte, Naples) executed in Raphael's workshop by Giovanni Francesco Penni.",1501-1550,Oil on wood,200.0
